;;;VALORES ANUALIZADOS;;;;;
ANO;CATEGORIA;SUBCATEGORIA;CHATBOT;DATING APPS;SOCIAL MEDIA;SOCIALIZATION PLACES;NGOS;DIRECT REFERRALS
2021;IT equipment;Speaker;0;0;0;0;0;104.803493449782
2021;IT equipment;Laptop;214.531659388646;214.531659388646;214.531659388646;214.531659388646;214.531659388646;214.531659388646
2019;IT equipment;Laptop;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613
2020;IT equipment;Laptop;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613
2021;IT equipment;Laptop;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613
2020;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2021;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2020;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2021;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2020;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2021;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2020;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2021;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2020;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2021;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2019;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2020;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2019;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2020;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2019;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2020;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105
2021;IT equipment;Smartphone;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764
2019;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
